"";"diputadoId";"nombre";"distrito";"bloqueId";"color";"bloque";"bloqueAbreviado";"periodo";"cluster"
"6162";616;"PEREZ SUAREZ, Inés";"Cdad.Aut.Bs.As.";39;"#ffffff";"Eva Perón";"Eva Perón";2005;1
"6172";617;"PEREZ, Alberto Cesar";"Neuquén";87;"#ffffff";"Movimiento Popular Neuquino";"Movimiento Popular Neuquino";2005;2
"6202";620;"PEREZ, José Adrián";"Buenos Aires";1;"#2ca02c";"A.R.I";"ARI";2005;1
"6212";621;"PEREZ, Mirta";"Buenos Aires";113;"#ffffff";"Peronista Federal";"Peronista Federal";2005;1
"6222";622;"PERIE, Hugo Rubén";"Corrientes";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"6242";624;"PERNASETTI, Horacio Francisco";"Catamarca";147;"#d62728";"Unión Cívica Radical";"UCR";2005;1
"6272";627;"PESO, Stella Marys";"Misiones";113;"#ffffff";"Peronista Federal";"Peronista Federal";2005;1
"6302";630;"PICCININI, Alberto José";"Santa Fe";1;"#2ca02c";"A.R.I";"ARI";2005;1
"6332";633;"PILATI, Norma Raquel";"Mendoza";74;"#1f77b4";"Justicialista";"Justicialista";2005;3
"6352";635;"PINEDO, Federico";"Cdad.Aut.Bs.As.";118;"#e7ba52";"Propuesta Republicana";"PRO";2005;1
"6362";636;"PINTO BRUCHMANN, Juan Domingo";"Santiago del Estero";74;"#1f77b4";"Justicialista";"Justicialista";2005;3
"6402";640;"POGGI, Claudio Javier";"San Luis";51;"#ffffff";"Frente del Movimiento Popular";"Frente del Movimiento Popular";2005;1
"6412";641;"POLINO, Hector Teodoro";"Cdad.Aut.Bs.As.";104;"#fa58f4";"Partido Socialista";"PS";2005;1
"643";643;"PORTO, Héctor Norberto";"Buenos Aires";113;"#ffffff";"Peronista Federal";"Peronista Federal";2005;4
"6472";647;"PRUYAS, Tomás Rubén";"Corrientes";74;"#1f77b4";"Justicialista";"Justicialista";2005;3
"6502";650;"PUIG de STUBRIN, Lilia";"Santa Fe";147;"#d62728";"Unión Cívica Radical";"UCR";2005;3
"6551";655;"QUIROZ, Elsa Siria";"Buenos Aires";1;"#2ca02c";"A.R.I";"ARI";2005;4
"6561";656;"RAIMUNDI, Carlos Alberto";"Buenos Aires";1;"#2ca02c";"A.R.I";"ARI";2005;4
